"Date/Time","Year","Month","Day","Data Quality","MaxTemp","Max Temp Flag","MinTemp","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2019-01-01","2019","01","01","","2.4","","-12.3","","-5.0","","23.0","","0.0","","16.8","","0.2","","17.0","","0","T","29","","52",""
"2019-01-02","2019","01","02","","-9.4","","-15.6","","-12.5","","30.5","","0.0","","0.0","","0.4","","0.4","","0","T","","M","","M"
"2019-01-03","2019","01","03","","-1.5","","-14.1","","-7.8","","25.8","","0.0","","0.0","","4.6","","4.6","","4","","2","","32",""
"2019-01-04","2019","01","04","","2.5","","-1.7","","0.4","","17.6","","0.0","","0.0","","3.0","","3.0","","6","","23","","48",""
"2019-01-05","2019","01","05","","2.3","","0.0","","1.2","","16.8","","0.0","","0.0","T","0.0","","0.0","T","1","E","","M","","M"
"2019-01-06","2019","01","06","","1.3","","-13.0","","-5.9","","23.9","","0.0","","0.0","","0.4","","0.4","","1","","30","","46",""
"2019-01-07","2019","01","07","","-8.4","","-16.5","","-12.5","","30.5","","0.0","","0.0","","4.6","","4.6","","1","","7","","39",""
"2019-01-08","2019","01","08","","0.9","","-8.7","","-3.9","","21.9","","0.0","","0.0","","5.8","","6.8","","5","","15","","59",""
"2019-01-09","2019","01","09","","1.3","","-3.0","","-0.9","","18.9","","0.0","","0.0","","0.2","","0.2","","4","","2","","39",""
"2019-01-10","2019","01","10","","-2.7","","-13.0","","-7.9","","25.9","","0.0","","0.0","","1.2","","1.2","","5","","27","","54",""
"2019-01-11","2019","01","11","","-12.9","","-18.8","","-15.9","","33.9","","0.0","","0.0","","0.0","T","0.0","T","4","","25","","50",""
"2019-01-12","2019","01","12","","-13.6","","-19.1","","-16.4","","34.4","","0.0","","0.0","","0.0","","0.0","","4","","26","","37",""
"2019-01-13","2019","01","13","","-10.8","","-19.9","","-15.4","","33.4","","0.0","","0.0","","0.0","T","0.0","T","4","","","M","","M"
"2019-01-14","2019","01","14","","-8.0","","-18.7","","-13.4","","31.4","","0.0","","0.0","","0.0","T","0.0","T","4","","","M","","M"
"2019-01-15","2019","01","15","","-1.3","","-8.0","","-4.7","","22.7","","0.0","","0.0","","0.6","","0.6","","4","","","M","","M"
"2019-01-16","2019","01","16","","1.4","","-17.7","","-8.2","","26.2","","0.0","","0.0","","0.6","","0.6","","4","","24","","67",""
"2019-01-17","2019","01","17","","-13.5","","-20.9","","-17.2","","35.2","","0.0","","0.0","","0.0","","0.0","","4","","","","","M"
"2019-01-18","2019","01","18","","-9.3","","-15.9","","-12.6","","30.6","","0.0","","0.0","","2.6","","1.6","","3","","","","","M"
"2019-01-19","2019","01","19","","-15.1","","-23.0","","-19.1","","37.1","","0.0","","0.0","","2.8","","2.8","","5","","4","","50",""
"2019-01-20","2019","01","20","","-15.8","","-21.3","","-18.6","","36.6","","0.0","","0.0","","15.8","","15.8","","7","","3","","63",""
"2019-01-21","2019","01","21","","-16.4","","-21.5","","-19.0","","37.0","","0.0","","0.0","","1.8","","1.8","","10","","28","","54",""
"2019-01-22","2019","01","22","","-9.8","","-23.1","","-16.5","","34.5","","0.0","","0.0","","0.0","","0.0","","15","","27","","41",""
"2019-01-23","2019","01","23","","0.9","","-13.3","","-6.2","","24.2","","0.0","","7.0","","15.4","","22.4","","17","","","M","","M"
"2019-01-24","2019","01","24","","2.9","","-6.8","","-2.0","","20.0","","0.0","","17.6","","0.0","T","17.6","","18","","29","","55",""
"2019-01-25","2019","01","25","","-1.7","","-11.5","","-6.6","","24.6","","0.0","","0.0","","0.2","","0.2","","10","","26","","59",""
"2019-01-26","2019","01","26","","-11.3","","-13.7","","-12.5","","30.5","","0.0","","0.0","","0.6","","0.6","","10","","","M","","M"
"2019-01-27","2019","01","27","","-0.7","","-13.3","","-7.0","","25.0","","0.0","","0.0","","0.0","T","0.0","T","10","","24","","76",""
"2019-01-28","2019","01","28","","-12.5","","-20.2","","-16.4","","34.4","","0.0","","0.0","","0.0","","0.0","","10","","4","","45",""
"2019-01-29","2019","01","29","","-9.3","","-17.9","","-13.6","","31.6","","0.0","","0.0","","9.6","","8.8","","10","","4","","50",""
"2019-01-30","2019","01","30","","-7.5","","-17.2","","-12.4","","30.4","","0.0","","0.0","","0.0","T","0.0","T","18","","23","","78",""
"2019-01-31","2019","01","31","","-13.9","","-17.8","","-15.9","","33.9","","0.0","","0.0","","0.0","T","0.0","T","18","","27","","67",""
"2019-02-01","2019","02","01","","-12.1","","-17.7","","-14.9","","32.9","","0.0","","0.0","","0.0","T","0.0","T","16","","24","","48",""
"2019-02-02","2019","02","02","","-6.4","","-16.8","","-11.6","","29.6","","0.0","","0.0","","4.0","","3.4","","16","","22","","39",""
"2019-02-03","2019","02","03","","-10.5","","-14.9","","-12.7","","30.7","","0.0","","0.6","","2.2","","3.6","","14","","4","","37",""
"2019-02-04","2019","02","04","","-2.9","","-10.6","","-6.8","","24.8","","0.0","","0.8","","0.8","","2.2","","16","","","M","","M"
"2019-02-05","2019","02","05","","6.4","","-9.8","","-1.7","","19.7","","0.0","","5.2","","0.0","","5.2","","16","","27","","71",""
"2019-02-06","2019","02","06","","-5.6","","-11.2","","-8.4","","26.4","","0.0","","2.8","","3.4","","6.2","","14","","4","","45",""
"2019-02-07","2019","02","07","","2.1","","-6.7","","-2.3","","20.3","","0.0","","0.4","","0.0","","0.4","","14","","7","","39",""
"2019-02-08","2019","02","08","","6.4","","-9.0","","-1.3","","19.3","","0.0","","0.4","","0.6","","1.0","","8","","26","","96",""
"2019-02-09","2019","02","09","","-7.0","","-11.8","","-9.4","","27.4","","0.0","","0.0","","0.0","","0.0","","6","","26","","80",""
